"","Site","campaign","habitat","drying_regime","flow_state","mean_CH4_mg_m2_d","mean_CO2_g_m2_d","mean_soil_temp","mean_soil_VWC","mean_pool_riffle_depth_cm","sed_temp","sed_VWC","Air_temp","Temp_water_C","Mean_Velocity..m.s.","bedrock","boulders","cobbles","gravel","sand","silt","Sed_OM","DO_mg_L","pH","cond_us_cm","Freq_Flow","Freq_Dry","Freq_Ponded","latitude","longitude","m_to_source","freq_flow_2021","freq_dry_2021","freq_pool_2021","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","Tsince_rewet","Tsince_manual","percent_C","percent_N","CN_ratio","CN_ratio.LECA","Canopy_Cover_Rip","Canopy_Cover_Benth","Tree_div","Leaf_Fall_m2.Day","Stock_Benth_g.m2","Ave.wet.width_m","Embeddedness","Discharge_l_s","masl","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Max..wetted.width..m.","Min..wetted.width..m.","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","filamentous.algae","X..wood.cover","MeanDur_Ponded","MeanDur_Dry","MeanDur_Flow","MaxDur_Ponded","MaxDur_Dry","MaxDur_Flow","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","In_stream_CH4_mg_m2_d","aquatic_conditions"
"1","AL01","1","Flowing","perennial","flowing",0.0712799526354131,1.59679596106789,NA,NA,18.44,NA,NA,5.6,3.8,0.1936,3,15,76,5,1,0,2.9,11.97,7.77,326,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,1.0976406,0.144952791,7.57240058937534,7.57240058937534,NA,56,10,2.482638252,1.651284563,4.4,0,0.072,902,0,3708.4,0,100,7,2.5,19,11,0,3,30,NA,244.5,39,NA,482,7.36,793,0.192,320,3107.5,3,0,0.0712799526354131,"Flowing"
"2","AL01","1","Riparian","perennial","flowing",-0.152937653567779,NA,3.04666666666667,0.354933333333333,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,326,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,10.63659227,0.389537025,27.3057285632861,27.3057285632861,79.5,NA,10,2.482638252,1.651284563,4.4,0,NA,902,0,3708.4,0,100,7,2.5,19,11,0,3,30,NA,244.5,39,NA,482,NA,NA,NA,NA,NA,NA,NA,0.0712799526354131,"Flowing"
"3","AL01","2","Flowing","perennial","flowing",0.183310349721956,1.86686022720902,NA,NA,17.16,NA,NA,5.6,6.9,NA,3,15,76,5,1,0,NA,10.61,8.4,231,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183310349721956,"Flowing"
"4","AL01","2","Riparian","perennial","flowing",-0.26507343330182,0.853447803668,5.63333333333333,0.356266666666667,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183310349721956,"Flowing"
"5","AL01","3","Flowing","perennial","flowing",1.24281478392558,2.7768830411004,NA,NA,12.8,NA,NA,12.748,12,0.1812,0,15,80,5,0,0,5.31,9.59,7.94,3.84,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,1.895505774,0.178668304,10.6090768847283,10.6090768847283,NA,56,10,2.482638252,3.22785551,2.9,0,0.02,902,0,3708.4,0,100,5.6,2,19,11,10,2,30,NA,244.5,39,NA,482,7.71,248,0.09,376.5,5735.5,7,3,1.24281478392558,"Flowing"
"6","AL01","3","Riparian","perennial","flowing",-0.206758036197713,2.48248322104123,11.92,0.4056,NA,NA,NA,12.7674,NA,NA,NA,NA,NA,NA,NA,NA,5.31,NA,NA,3.84,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,13.19440574,0.585918945,22.5191655818536,22.5191655818536,79.5,NA,10,2.482638252,3.22785551,2.9,0,NA,902,0,3708.4,0,100,5.6,2,19,11,10,2,30,NA,244.5,39,NA,482,NA,NA,NA,NA,NA,NA,NA,1.24281478392558,"Flowing"
"7","AL01","4","Flowing","perennial","flowing",0.513593182559953,3.78440448769182,NA,NA,15.7,NA,NA,11.6056,14.6,NA,0,15,80,5,0,0,NA,9.13,8.07,402,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513593182559953,"Flowing"
"8","AL01","4","Riparian","perennial","flowing",-0.249669665364994,2.7009748994531,12.9866666666667,0.369133333333333,NA,NA,NA,11.6056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513593182559953,"Flowing"
"9","AL01","5","Flowing","perennial","flowing",0.417034800825229,0.924100247887042,NA,NA,12.25,NA,NA,9.49675,10.5,0.1482,0,20,77,2,1,0,1.05,9.44,7.88,424,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,0.677774906,0.062503436,10.8438023471222,10.8438023471222,NA,56,10,2.482638252,2.009278528,2.35,0,0.025,902,0,3708.4,0,100,3,1.8,19,11,0,2,30,NA,244.5,39,NA,482,8.35,84.1,0.275,589,5022.5,2,57,0.417034800825229,"Flowing"
"10","AL01","5","Riparian","perennial","flowing",-0.312378869475031,2.4518535127509,12.95,0.383833333333333,NA,NA,NA,9.49675,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,424,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,14.67114934,0.544188906,26.9596626800768,26.9596626800768,79.5,NA,10,2.482638252,2.009278528,2.35,0,NA,902,0,3708.4,0,100,3,1.8,19,11,0,2,30,NA,244.5,39,NA,482,NA,NA,NA,NA,NA,NA,NA,0.417034800825229,"Flowing"
