"","Site","campaign","habitat","drying_regime","flow_state","mean_mg_N2ON_m2_d","mean_soil_temp","mean_soil_VWC","mean_pool_riffle_depth_cm","sed_temp","sed_VWC","Air_temp","Temp_water_C","Mean_Velocity..m.s.","bedrock","boulders","cobbles","gravel","sand","silt","Sed_OM","DO_mg_L","pH","cond_us_cm","Freq_Flow","Freq_Dry","Freq_Ponded","latitude","longitude","m_to_source","freq_flow_2021","freq_dry_2021","freq_pool_2021","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","Tsince_manual","percent_C","percent_N","CN_ratio","Canopy_Cover_Benth","Stock_Benth_g.m2","Ave.wet.width_m","Embeddedness","Discharge_l_s","masl","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Max..wetted.width..m.","Min..wetted.width..m.","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","MeanDur_Ponded","MeanDur_Dry","MeanDur_Flow","MaxDur_Ponded","MaxDur_Dry","MaxDur_Flow","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","In_stream_N2O_mg_m2_d","aquatic_conditions.x","aquatic_conditions.y"
"1","AL01","1","Flowing","perennial","flowing",0.186828043160966,NA,NA,18.44,NA,NA,5.6,3.8,0.1936,3,15,76,5,1,0,2.9,11.97,7.77,326,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,1.0976406,0.144952791,7.57240058937534,56,1.651284563,4.4,0,0.072,902,0,3708.4,0,100,7,2.5,19,11,30,NA,244.5,39,NA,482,7.36,793,0.192,320,3107.5,3,0,0.186828043160966,"Flowing","Flowing"
"2","AL01","1","Riparian","perennial","flowing",0.00339970515423295,3.04666666666667,0.354933333333333,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,326,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,10.63659227,0.389537025,27.3057285632861,NA,1.651284563,4.4,0,NA,902,0,3708.4,0,100,7,2.5,19,11,30,NA,244.5,39,NA,482,NA,NA,NA,NA,NA,NA,NA,0.186828043160966,"Flowing","Flowing"
"3","AL01","3","Flowing","perennial","flowing",0.139996015373007,NA,NA,12.8,NA,NA,12.8252,12,0.1812,0,15,80,5,0,0,5.31,9.59,7.94,3.84,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,1.895505774,0.178668304,10.6090768847283,56,3.22785551,2.9,0,0.02,902,0,3708.4,0,100,5.6,2,19,11,30,NA,244.5,39,NA,482,7.71,248,0.09,376.5,5735.5,7,3,0.139996015373007,"Flowing","Flowing"
"4","AL01","3","Riparian","perennial","flowing",0.0802512748355379,11.92,0.4056,NA,NA,NA,12.7674,NA,NA,NA,NA,NA,NA,NA,NA,5.31,NA,NA,3.84,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,13.19440574,0.585918945,22.5191655818536,NA,3.22785551,2.9,0,NA,902,0,3708.4,0,100,5.6,2,19,11,30,NA,244.5,39,NA,482,NA,NA,NA,NA,NA,NA,NA,0.139996015373007,"Flowing","Flowing"
"5","AL01","5","Flowing","perennial","flowing",0.0471727333092986,NA,NA,12,NA,NA,9.669,10.5,0.1482,0,20,77,2,1,0,1.05,9.44,7.88,424,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,0.677774906,0.062503436,10.8438023471222,56,2.009278528,2.35,0,0.025,902,0,3708.4,0,100,3,1.8,19,11,30,NA,244.5,39,NA,482,8.35,84.1,0.275,589,5022.5,2,57,0.0471727333092986,"Flowing","Flowing"
"6","AL01","5","Riparian","perennial","flowing",0.325856109115258,12.7666666666667,0.44,NA,NA,NA,9.965,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,424,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,14.67114934,0.544188906,26.9596626800768,NA,2.009278528,2.35,0,NA,902,0,3708.4,0,100,3,1.8,19,11,30,NA,244.5,39,NA,482,NA,NA,NA,NA,NA,NA,NA,0.0471727333092986,"Flowing","Flowing"
"7","AL01","7","Flowing","perennial","flowing",0.0532265664928466,NA,NA,9,NA,NA,-2.0532,4.6,0.0243,5,25,60,5,5,0,2.35,11.15,7.87,414,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,0.887065116,0.152996079,5.7979598026169,56,6.397375263,2.3,0,0.005,902,0,3708.4,0,100,4.3,1.5,19,11,30,NA,244.5,39,NA,482,8.55,98.7,0.131,318.5,3961.5,3,13,0.0532265664928466,"Flowing","Flowing"
"8","AL01","7","Riparian","perennial","flowing",0.0171355956231453,3.53333333333333,NA,NA,NA,NA,-2.007,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,NA,414,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,10.24964591,0.365673162,28.029527389817,NA,6.397375263,2.3,0,NA,902,0,3708.4,0,100,4.3,1.5,19,11,30,NA,244.5,39,NA,482,NA,NA,NA,NA,NA,NA,NA,0.0532265664928466,"Flowing","Flowing"
"9","AL02","1","Flowing","intermittent_long","flowing",0.258140506998408,NA,NA,29.8,NA,NA,7.33333333333333,5.1,0.2504,50,10,35,5,0,0,4.55,14.29,8.43,391,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,1,0.387096774193548,0,0.580645161290323,0,0.032258064516129,8,1.715524472,0.233388258,7.35051748833054,9.5,0.592440797,7.4,0,0.174,803,16025.8,7755.3,59.10765724,28.60372738,12,2.3,22,17,1,17.0952381,10.52380952,1,100,34,7.39,129,0.505,554,2208,43,6,0.258140506998408,"Flowing","Flowing"
"10","AL02","1","Riparian","intermittent_long","flowing",0.0282762752042886,1.78333333333333,0.267666666666667,NA,NA,NA,7.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,4.55,NA,NA,391,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,1,0.387096774193548,0,0.580645161290323,0,0.032258064516129,8,10.07693805,0.404540208,24.9096081198436,NA,0.592440797,7.4,0,NA,803,16025.8,7755.3,59.10765724,28.60372738,12,2.3,22,17,1,17.0952381,10.52380952,1,100,34,NA,NA,NA,NA,NA,NA,NA,0.258140506998408,"Flowing","Flowing"
