"","ID_unique","CO2_mg_m2_h","CH4_ug_m2_h","Air_temp","pressure_calc_atm","campaign","Site","drying_regime","soil_temp","soil_VWC","flow_state","habitat_type","pool_riffle_depth_cm","Picarro_LGR","total_volume_L","chamber_area_m2","sed_temp","sed_VWC","point","habitat","ecosystem","CO2_g_m2_d","CH4_mg_m2_d","ug_N2ON_m2_h","mg_N2ON_m2_d","Canopy_Cover_Benth","Stock_Benth_g.m2","Max..wetted.width..m.","Min..wetted.width..m.","Ave.wet.width_m","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","Embeddedness....","Discharge..l.s.","Mean_Velocity..m.s.","MeanDur_Ponded","MaxDur_Ponded","MeanDur_Dry","MaxDur_Dry","MeanDur_Flow","MaxDur_Flow","masl","dist.to.per","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Soil_OM","Sed_OM","percent_N","percent_C","CN_ratio","pH","DO_mg_L","DO_percent","cond_us_cm","Temp_water_C","date","totalbiomass_g","grassbiomass_g","herbsbiomass_g","leavesbiomass_g","mossbiomass_g","woodybiomass_g","latitude","longitude","Freq_Flow","Freq_Dry","Freq_Ponded","m_to_source","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","freq_flow_2021","freq_dry_2021","freq_pool_2021","Tsince_manual","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","bedrock","boulders","cobbles","gravel","sand","silt"
"1","2021-03-16_CA01_F1_Picarro",335.540539739361,6.18499275375014,8.5,0.95041661292846,1,"CA01","perennial",NA,NA,"flowing","",20,"Picarro",3.58571661,0.045238934,NA,NA,"F1","Flowing","Aquatic",8.05297295374466,0.148439826090003,NA,NA,67.5,0.340765228,3.7,2.7,3.3,6,4,40,0.002,0.303,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.150820603,1.286937579,8.53290302121388,8.04,11.13,100.8,432,8.7,"2021-03-16",NA,NA,NA,NA,NA,NA,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,7.87,611,0.811,770,1394,8,0,0,5,80,15,0,0
"2","2021-03-16_CA01_F2_Picarro",371.910020638088,5.0177222432106,8.5,0.95041661292846,1,"CA01","perennial",NA,NA,"flowing","",15,"Picarro",3.58571661,0.045238934,NA,NA,"F2","Flowing","Aquatic",8.92584049531411,0.120425333837054,NA,NA,67.5,0.340765228,3.7,2.7,3.3,6,4,40,0.002,0.303,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.150820603,1.286937579,8.53290302121388,8.04,11.13,100.8,432,8.7,"2021-03-16",NA,NA,NA,NA,NA,NA,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,7.87,611,0.811,770,1394,8,0,0,5,80,15,0,0
"3","2021-03-16_CA01_F3_Picarro",284.567918208107,4.44101281360016,8.5,0.95041661292846,1,"CA01","perennial",NA,NA,"flowing","",35,"Picarro",3.58571661,0.045238934,NA,NA,"F3","Flowing","Aquatic",6.82963003699457,0.106584307526404,NA,NA,67.5,0.340765228,3.7,2.7,3.3,6,4,40,0.002,0.303,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.150820603,1.286937579,8.53290302121388,8.04,11.13,100.8,432,8.7,"2021-03-16",NA,NA,NA,NA,NA,NA,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,7.87,611,0.811,770,1394,8,0,0,5,80,15,0,0
"4","2021-03-16_CA01_F4_Picarro",246.400360889144,3.60555590090782,8.5,0.95041661292846,1,"CA01","perennial",NA,NA,"flowing","",30,"Picarro",3.58571661,0.045238934,NA,NA,"F4","Flowing","Aquatic",5.91360866133946,0.0865333416217877,NA,NA,67.5,0.340765228,3.7,2.7,3.3,6,4,40,0.002,0.303,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.150820603,1.286937579,8.53290302121388,8.04,11.13,100.8,432,8.7,"2021-03-16",NA,NA,NA,NA,NA,NA,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,7.87,611,0.811,770,1394,8,0,0,5,80,15,0,0
"5","2021-03-16_CA01_F5_Picarro",243.651700777914,8.02590341032412,8.5,0.95041661292846,1,"CA01","perennial",NA,NA,"flowing","",32,"Picarro",3.58571661,0.045238934,NA,NA,"F5","Flowing","Aquatic",5.84764081866994,0.192621681847779,NA,NA,67.5,0.340765228,3.7,2.7,3.3,6,4,40,0.002,0.303,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.150820603,1.286937579,8.53290302121388,8.04,11.13,100.8,432,8.7,"2021-03-16",NA,NA,NA,NA,NA,NA,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,7.87,611,0.811,770,1394,8,0,0,5,80,15,0,0
"6","2021-03-16_CA01_R1_Picarro",18.2793209633511,-5.76541897302666,8.5,0.95041661292846,1,"CA01","perennial",6.4,0.288,"flowing",NA,NA,"Picarro",6.509960691,0.045238934,NA,NA,"R1","Riparian","Riparian",0.438703703120426,-0.13837005535264,NA,NA,NA,0.340765228,3.7,2.7,3.3,6,4,40,NA,NA,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.491591311,9.137535246,18.5876663023444,NA,NA,NA,432,NA,"2021-03-16",33.931634033,0.00778,2.825228612,25.71542207,4.23645104,1.146752311,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-16_CA01_R2_Picarro",0.318747074673559,-0.846392129142751,8.5,0.95041661292846,1,"CA01","perennial",7.36666666666667,0.368666666666667,"flowing",NA,NA,"Picarro",7.565535822,0.045238934,NA,NA,"R2","Riparian","Riparian",0.00764992979216542,-0.020313411099426,NA,NA,NA,0.340765228,3.7,2.7,3.3,6,4,40,NA,NA,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.491591311,9.137535246,18.5876663023444,NA,NA,NA,432,NA,"2021-03-16",33.931634033,0.00778,2.825228612,25.71542207,4.23645104,1.146752311,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-16_CA01_R3_Picarro",0.312761436636777,2.46131302649015,8.5,0.95041661292846,1,"CA01","perennial",4.96666666666667,0.348666666666667,"flowing",NA,NA,"Picarro",7.490137599,0.045238934,NA,NA,"R3","Riparian","Riparian",0.00750627447928265,0.0590715126357636,NA,NA,NA,0.340765228,3.7,2.7,3.3,6,4,40,NA,NA,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.491591311,9.137535246,18.5876663023444,NA,NA,NA,432,NA,"2021-03-16",33.931634033,0.00778,2.825228612,25.71542207,4.23645104,1.146752311,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-16_CA01_R4_Picarro",52.9241147079077,-3.973788950429,8.5,0.95041661292846,1,"CA01","perennial",7.46666666666667,0.340666666666667,"flowing",NA,NA,"Picarro",7.821889783,0.045238934,NA,NA,"R4","Riparian","Riparian",1.27017875298978,-0.095370934810296,NA,NA,NA,0.340765228,3.7,2.7,3.3,6,4,40,NA,NA,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.491591311,9.137535246,18.5876663023444,NA,NA,NA,432,NA,"2021-03-16",33.931634033,0.00778,2.825228612,25.71542207,4.23645104,1.146752311,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-16_CA01_R5_Picarro",27.3670656523787,-5.02218649561605,8.5,0.95041661292846,1,"CA01","perennial",6.66666666666667,0.368333333333333,"flowing",NA,NA,"Picarro",6.359164243,0.045238934,NA,NA,"R5","Riparian","Riparian",0.656809575657089,-0.120532475894785,NA,NA,NA,0.340765228,3.7,2.7,3.3,6,4,40,NA,NA,0,0,0,0,NA,NA,538,0,1686.4,727.8,69.85336758,30.14663242,17.34,3.03,0.491591311,9.137535246,18.5876663023444,NA,NA,NA,432,NA,"2021-03-16",33.931634033,0.00778,2.825228612,25.71542207,4.23645104,1.146752311,45.880623,5.494407,1,0,0,2093.278,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
